,번호,성별,지역,독서빈도,선호도,종이책 독서량,전자책 독서량,오디오북 독서량,도서 선택 시 이용정보1,도서 선택 시 이용정보2,도서 입수경로1,도서 입수경로2,초등 선호분야1,초등 선호분야2,초등 선호분야3,중고등 선호분야1,중고등 선호분야2,중고등 선호분야3,학교 밖 도서관 이용 여부,학교 밖 주이용 도서관1,학교 밖 주이용 도서관2,월 이용횟수,연 이용횟수,이용 목적,비이용 이유,코로나 이후 종이책 독서 증감,코로나 이후 전자책 독서 증감,코로나 이후 웹소설 독서 증감,코로나 이후 오디오북 독서 증감,코로나 이후 독서량,코로나 이후 도서관 방문,코로나 이후 전자도서관 이용
960,961,남,제주,일주일에 한두 번,보통이다,5,0,0,"가족, 선생님, 친구 추천","서점, 도서관 등에서 책을 직접 보고",집에 있는 책,부모님이 사다 주신다,1,동시/시,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,약간 감소,약간 감소,매우 감소
961,962,남,제주,매일,매우 좋아한다,59,0,0,베스트셀러,각종 기관의 추천도서,학교 밖 도서관,주위 사람에게 대여,7,취미,3,-1,-1,-1,있다,공공도서관,-1,5,-1,독서 및 도서 대출,-1,매우 증가,매우 감소,매우 감소,매우 감소,매우 증가,매우 증가,매우 감소
962,963,남,제주,일주일에 한두 번,보통이다,250,0,0,"가족, 선생님, 친구 추천","인터넷의 책 소개, 광고",집에 있는 책,부모님이 사다 주신다,9,과학,10,-1,-1,-1,있다,공공도서관,작은도서관,5,-1,독서 및 도서 대출,-1,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,약간 감소,매우 감소
963,964,남,제주,일주일에 한두 번,매우 좋아한다,45,50,105,"서점, 도서관 등에서 책을 직접 보고",각종 기관의 추천도서,부모님이 사다 주신다,학교 밖 도서관,5,기타,11,-1,-1,-1,있다,공공도서관,작은도서관,10,-1,독서 및 도서 대출,-1,약간 증가,변함 없음,변함 없음,약간 증가,매우 증가,약간 증가,약간 감소
964,965,여,제주,한 달에 한두 번,보통이다,50,0,0,"가족, 선생님, 친구 추천",각종 기관의 추천도서,집에 있는 책,주위 사람에게 대여,1,동화/소설,10,-1,-1,-1,없다,-1,-1,-1,-1,-1,바빠서 이용할 시간이 없다,약간 감소,변함 없음,변함 없음,변함 없음,약간 감소,약간 감소,약간 감소
965,966,여,제주,한 달에 한두 번,보통이다,5,3,0,"가족, 선생님, 친구 추천","서점, 도서관 등에서 책을 직접 보고",집에 있는 책,직접 구입,11,동시/시,3,-1,-1,-1,있다,작은도서관,공공도서관,-1,3,독서 및 도서 대출,-1,약간 감소,매우 감소,매우 감소,매우 감소,변함 없음,약간 감소,약간 감소
966,967,여,제주,매일,매우 좋아한다,40,0,0,"가족, 선생님, 친구 추천","서점, 도서관 등에서 책을 직접 보고",학교 밖 도서관,집에 있는 책,1,동화/소설,5,-1,-1,-1,있다,공공도서관,작은도서관,4,-1,독서 및 도서 대출,-1,매우 증가,변함 없음,변함 없음,변함 없음,매우 증가,변함 없음,매우 감소
967,968,여,제주,일주일에 한두 번,보통이다,30,0,7,"가족, 선생님, 친구 추천","서점, 도서관 등에서 책을 직접 보고",직접 구입,학교 도서관,11,그림책,2,-1,-1,-1,있다,작은도서관,어린이도서관,10,-1,독서 및 도서 대출,-1,약간 감소,변함 없음,변함 없음,변함 없음,약간 증가,약간 감소,변함 없음
968,969,여,제주,전혀 읽지 않음,보통이다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,기타,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
969,970,여,제주,매일,매우 싫어한다,16,10,0,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,집에 있는 책,기타,12,취미,10,-1,-1,-1,있다,기타,작은도서관,-1,5,기타,-1,약간 증가,변함 없음,변함 없음,매우 감소,변함 없음,변함 없음,매우 감소
970,971,여,제주,몇 달에 한번,매우 싫어한다,2,2,0,"텔레비전이나 라디오의 책 소개, 광고","유튜브, 책방송 팟캐스트의 책 소개",집에 있는 책,선물,1,동화/소설,12,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,약간 증가,변함 없음,약간 감소,약간 감소,변함 없음,변함 없음,변함 없음
971,972,여,제주,일주일에 한두 번,보통이다,70,0,0,"서점, 도서관 등에서 책을 직접 보고",각종 기관의 추천도서,학교 도서관,집에 있는 책,5,동화/소설,11,-1,-1,-1,없다,-1,-1,-1,-1,-1,집에서 멀다,매우 증가,변함 없음,변함 없음,변함 없음,매우 증가,매우 증가,변함 없음
972,973,여,제주,매일,매우 좋아한다,150,10,3,베스트셀러,각종 기관의 추천도서,부모님이 사다 주신다,집에 있는 책,3,취미,10,-1,-1,-1,있다,공공도서관,작은도서관,4,-1,독서 및 도서 대출,-1,매우 증가,변함 없음,변함 없음,약간 증가,매우 증가,약간 감소,약간 감소
973,974,여,제주,일주일에 한두 번,보통이다,13,0,0,"서점, 도서관 등에서 책을 직접 보고",각종 기관의 추천도서,직접 구입,부모님이 사다 주신다,10,취미,2,-1,-1,-1,있다,공공도서관,어린이도서관,-1,20,독서 및 도서 대출,-1,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,약간 증가,변함 없음
974,975,여,제주,매일,약간 좋아한다,45,0,0,"서점, 도서관 등에서 책을 직접 보고",각종 기관의 추천도서,학교 밖 도서관,부모님이 사다 주신다,3,"역사, 위인전",13,-1,-1,-1,있다,기타,작은도서관,10,-1,독서 및 도서 대출,-1,매우 증가,변함 없음,변함 없음,변함 없음,매우 증가,매우 증가,변함 없음
975,976,여,제주,일주일에 한두 번,약간 좋아한다,50,210,6,"텔레비전이나 라디오의 책 소개, 광고","가족, 선생님, 친구 추천",집에 있는 책,선물,12,취미,3,-1,-1,-1,있다,어린이도서관,작은도서관,1,-1,독서 및 도서 대출,-1,약간 증가,매우 증가,매우 증가,매우 감소,매우 증가,약간 감소,약간 감소
976,977,여,제주,일주일에 한두 번,보통이다,50,2,0,각종 기관의 추천도서,"서점, 도서관 등에서 책을 직접 보고",학교 밖 도서관,학교 도서관,3,취미,5,-1,-1,-1,있다,공공도서관,작은도서관,5,-1,9,-1,매우 증가,매우 감소,매우 감소,매우 감소,약간 증가,변함 없음,약간 증가
977,978,여,제주,일주일에 한두 번,보통이다,30,0,0,"가족, 선생님, 친구 추천","서점, 도서관 등에서 책을 직접 보고",집에 있는 책,부모님이 사다 주신다,5,동화/소설,10,-1,-1,-1,없다,-1,-1,-1,-1,-1,읽고 싶은 책은 사서 읽는다,약간 감소,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,변함 없음
978,979,남,서울,매일,보통이다,2,1,0,"가족, 선생님, 친구 추천","서점, 도서관 등에서 책을 직접 보고",집에 있는 책,주위 사람에게 대여,-1,-1,-1,2,"연예, 오락, 스포츠, 취미, 여행 ",1,없다,-1,-1,-1,-1,-1,바빠서 이용할 시간이 없다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
979,980,남,서울,매일,매우 좋아한다,40,3,2,기타,"인터넷의 책 소개, 광고",학교 밖 도서관,집에 있는 책,-1,-1,-1,2,"과학, 기술, 컴퓨터",8,있다,공공도서관,-1,3,-1,독서 및 도서 대출,-1,약간 증가,변함 없음,매우 증가,변함 없음,약간 증가,약간 감소,약간 감소
980,981,남,서울,몇 달에 한번,보통이다,3,0,0,SNS 책 소개,"서점, 도서관 등에서 책을 직접 보고",직접 구입,집에 있는 책,-1,-1,-1,12,소설,8,없다,-1,-1,-1,-1,-1,기타,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
981,982,남,서울,일주일에 한두 번,약간 좋아한다,4,0,0,"가족, 선생님, 친구 추천","유튜브, 책방송 팟캐스트의 책 소개",학교 밖 도서관,집에 있는 책,-1,-1,-1,12,자기계발서,13,있다,공공도서관,-1,1,-1,시험 공부,-1,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,약간 증가,변함 없음
982,983,남,서울,몇 달에 한번,약간 싫어한다,0,12,0,"인터넷의 책 소개, 광고",베스트셀러,학교 도서관,직접 구입,-1,-1,-1,2,"철학, 사상, 종교",14,있다,작은도서관,공공도서관,-1,1,독서 및 도서 대출,-1,변함 없음,변함 없음,매우 증가,변함 없음,매우 증가,변함 없음,변함 없음
983,984,남,서울,몇 달에 한번,약간 싫어한다,1,0,0,"인터넷의 책 소개, 광고","가족, 선생님, 친구 추천",직접 구입,주위 사람에게 대여,-1,-1,-1,2,"철학, 사상, 종교",8,있다,공공도서관,작은도서관,-1,3,시험 공부,-1,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,약간 증가,매우 감소
984,985,남,서울,한 달에 한두 번,보통이다,8,4,0,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",직접 구입,주위 사람에게 대여,-1,-1,-1,2,"가정, 육아, 요리",9,있다,공공도서관,작은도서관,2,-1,독서 및 도서 대출,-1,매우 감소,매우 감소,변함 없음,변함 없음,매우 감소,변함 없음,변함 없음
985,986,남,서울,한 달에 한두 번,약간 싫어한다,1,1,0,"가족, 선생님, 친구 추천",SNS 책 소개,직접 구입,집에 있는 책,-1,-1,-1,12,시,3,없다,-1,-1,-1,-1,-1,바빠서 이용할 시간이 없다,약간 증가,변함 없음,변함 없음,약간 감소,변함 없음,약간 감소,매우 감소
986,987,남,서울,일주일에 한두 번,약간 좋아한다,3,0,0,각종 기관의 추천도서,"서점, 도서관 등에서 책을 직접 보고",직접 구입,집에 있는 책,-1,-1,-1,7,자기계발서,12,없다,-1,-1,-1,-1,-1,바빠서 이용할 시간이 없다,변함 없음,변함 없음,변함 없음,변함 없음,약간 증가,변함 없음,변함 없음
987,988,남,서울,매일,보통이다,1,10,0,"유튜브, 책방송 팟캐스트의 책 소개","드라마, 영화의 원작",기타,집에 있는 책,-1,-1,-1,12,시,9,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,매우 감소,매우 감소,매우 증가,매우 감소,매우 증가,매우 감소,매우 감소
988,989,남,서울,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
989,990,남,서울,한 달에 한두 번,보통이다,6,3,0,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,직접 구입,학교 밖 도서관,-1,-1,-1,2,"역사, 지리",12,있다,공공도서관,작은도서관,-1,12,시험 공부,-1,매우 감소,변함 없음,변함 없음,변함 없음,매우 감소,약간 감소,변함 없음
990,991,남,서울,한 달에 한두 번,보통이다,2,3,0,"유튜브, 책방송 팟캐스트의 책 소개","드라마, 영화의 원작",직접 구입,집에 있는 책,-1,-1,-1,12,자기계발서,2,없다,-1,-1,-1,-1,-1,집에서 멀다,변함 없음,매우 감소,매우 감소,매우 감소,매우 감소,매우 감소,매우 감소
991,992,남,서울,일주일에 한두 번,보통이다,13,0,0,"인터넷의 책 소개, 광고",SNS 책 소개,직접 구입,주위 사람에게 대여,-1,-1,-1,12,"직업, 취업 관련",8,없다,-1,-1,-1,-1,-1,기타,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,약간 증가,변함 없음
992,993,남,서울,매일,보통이다,2,56,0,기타,"서점, 도서관 등에서 책을 직접 보고",직접 구입,-1,-1,-1,-1,5,기타,4,없다,-1,-1,-1,-1,-1,읽을 만한 책이 없다,약간 증가,변함 없음,매우 증가,변함 없음,매우 증가,변함 없음,변함 없음
993,994,남,서울,몇 달에 한번,보통이다,3,0,0,각종 기관의 추천도서,"드라마, 영화의 원작",직접 구입,학교 도서관,-1,-1,-1,13,소설,14,없다,-1,-1,-1,-1,-1,읽고 싶은 책은 사서 읽는다,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,변함 없음,변함 없음
994,995,남,서울,매일,매우 좋아한다,4,0,0,"서점, 도서관 등에서 책을 직접 보고",기타,직접 구입,학교 도서관,-1,-1,-1,9,"어학, 외국어",12,있다,공공도서관,작은도서관,-1,4,독서 및 도서 대출,-1,매우 증가,변함 없음,변함 없음,변함 없음,약간 증가,매우 증가,변함 없음
995,996,남,서울,한 달에 한두 번,약간 싫어한다,5,0,0,기타,"서점, 도서관 등에서 책을 직접 보고",부모님이 사다 주신다,주위 사람에게 대여,-1,-1,-1,2,"연예, 오락, 스포츠, 취미, 여행 ",14,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,변함 없음,변함 없음
996,997,남,서울,매일,매우 싫어한다,6,24,1,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,직접 구입,학교 밖 도서관,-1,-1,-1,2,"역사, 지리",9,있다,작은도서관,공공도서관,10,-1,독서 및 도서 대출,-1,약간 감소,매우 증가,변함 없음,변함 없음,약간 증가,변함 없음,약간 감소
997,998,남,서울,일주일에 한두 번,약간 좋아한다,1,2,0,"인터넷의 책 소개, 광고","드라마, 영화의 원작",주위 사람에게 대여,직접 구입,-1,-1,-1,12,소설,-1,없다,-1,-1,-1,-1,-1,집에서 멀다,매우 감소,매우 감소,매우 감소,매우 감소,약간 감소,매우 감소,매우 감소
998,999,남,서울,한 달에 한두 번,약간 싫어한다,3,0,0,"드라마, 영화의 원작",기타,집에 있는 책,-1,-1,-1,-1,2,"연예, 오락, 스포츠, 취미, 여행 ",11,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,약간 감소,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
999,1000,남,서울,매일,약간 좋아한다,0,5,0,"드라마, 영화의 원작","유튜브, 책방송 팟캐스트의 책 소개",선물,-1,-1,-1,-1,12,"정치, 사회, 시사",2,없다,-1,-1,-1,-1,-1,읽고 싶은 책은 사서 읽는다,변함 없음,변함 없음,약간 증가,변함 없음,약간 증가,변함 없음,변함 없음
1000,1001,남,서울,일주일에 한두 번,약간 좋아한다,3,0,0,"서점, 도서관 등에서 책을 직접 보고","유튜브, 책방송 팟캐스트의 책 소개",직접 구입,집에 있는 책,-1,-1,-1,2,자기계발서,13,없다,-1,-1,-1,-1,-1,집에서 멀다,변함 없음,변함 없음,변함 없음,변함 없음,약간 증가,변함 없음,변함 없음
1001,1002,남,서울,몇 달에 한번,보통이다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,매우 감소,매우 감소,매우 감소,매우 감소,매우 감소,매우 감소,매우 감소
1002,1003,남,대전,매일,매우 좋아한다,40,10,0,"가족, 선생님, 친구 추천",각종 기관의 추천도서,기타,부모님이 사다 주신다,-1,-1,-1,2,"철학, 사상, 종교",7,없다,-1,-1,-1,-1,-1,이용 절차가 까다롭다,약간 증가,매우 증가,매우 증가,변함 없음,매우 증가,매우 감소,변함 없음
1003,1004,남,대전,몇 달에 한번,보통이다,5,0,0,"서점, 도서관 등에서 책을 직접 보고",각종 기관의 추천도서,직접 구입,집에 있는 책,-1,-1,-1,9,수필,13,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,약간 증가,변함 없음,매우 증가,변함 없음,약간 증가,변함 없음,약간 증가
1004,1005,남,대전,일주일에 한두 번,약간 좋아한다,10,0,0,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,직접 구입,집에 있는 책,-1,-1,-1,4,"예술, 문화",2,있다,공공도서관,-1,3,-1,독서 및 도서 대출,-1,매우 증가,변함 없음,변함 없음,변함 없음,매우 증가,매우 증가,약간 증가
1005,1006,남,대전,일주일에 한두 번,보통이다,10,6,0,"유튜브, 책방송 팟캐스트의 책 소개",SNS 책 소개,직접 구입,선물,-1,-1,-1,2,"역사, 지리",5,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,약간 증가,매우 증가,매우 증가,변함 없음,약간 증가,변함 없음,변함 없음
1006,1007,남,대전,한 달에 한두 번,보통이다,16,7,2,베스트셀러,"서점, 도서관 등에서 책을 직접 보고",직접 구입,선물,-1,-1,-1,7,"연예, 오락, 스포츠, 취미, 여행 ",5,있다,공공도서관,작은도서관,2,-1,독서 및 도서 대출,-1,변함 없음,매우 증가,약간 증가,약간 증가,약간 증가,약간 증가,변함 없음
1007,1008,남,대전,몇 달에 한번,약간 싫어한다,2,3,0,"가족, 선생님, 친구 추천",SNS 책 소개,집에 있는 책,학교 밖 도서관,-1,-1,-1,2,"과학, 기술, 컴퓨터",8,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,약간 증가,변함 없음,변함 없음
1008,1009,남,대전,한 달에 한두 번,보통이다,5,3,0,각종 기관의 추천도서,베스트셀러,직접 구입,학교 도서관,-1,-1,-1,7,"과학, 기술, 컴퓨터",12,없다,-1,-1,-1,-1,-1,바빠서 이용할 시간이 없다,약간 증가,약간 증가,약간 증가,변함 없음,변함 없음,변함 없음,변함 없음
1009,1010,남,대전,한 달에 한두 번,보통이다,5,0,0,"가족, 선생님, 친구 추천","인터넷의 책 소개, 광고",부모님이 사다 주신다,학교 밖 도서관,-1,-1,-1,2,"역사, 지리",9,없다,-1,-1,-1,-1,-1,기타,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,약간 증가,변함 없음
1010,1011,남,대전,일주일에 한두 번,보통이다,4,0,0,"유명인, 전문가 추천","인터넷의 책 소개, 광고",직접 구입,집에 있는 책,-1,-1,-1,2,"경제, 경영",12,있다,공공도서관,작은도서관,2,-1,독서 및 도서 대출,-1,약간 감소,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1011,1012,남,대전,한 달에 한두 번,약간 좋아한다,5,0,0,"서점, 도서관 등에서 책을 직접 보고","인터넷의 책 소개, 광고",학교 밖 도서관,직접 구입,-1,-1,-1,9,"역사, 지리",2,있다,공공도서관,작은도서관,3,-1,독서 및 도서 대출,-1,매우 증가,변함 없음,변함 없음,약간 증가,매우 증가,매우 증가,변함 없음
1012,1013,남,대전,몇 달에 한번,보통이다,8,0,0,"서점, 도서관 등에서 책을 직접 보고","인터넷의 책 소개, 광고",직접 구입,학교 밖 도서관,-1,-1,-1,2,"연예, 오락, 스포츠, 취미, 여행 ",8,있다,공공도서관,작은도서관,1,-1,독서 및 도서 대출,-1,변함 없음,변함 없음,변함 없음,변함 없음,약간 증가,약간 증가,변함 없음
1013,1014,여,대전,한 달에 한두 번,보통이다,1,4,0,"드라마, 영화의 원작","유튜브, 책방송 팟캐스트의 책 소개",직접 구입,부모님이 사다 주신다,-1,-1,-1,12,"직업, 취업 관련",14,없다,-1,-1,-1,-1,-1,이용 절차가 까다롭다,변함 없음,약간 증가,약간 증가,9,변함 없음,변함 없음,변함 없음
1014,1015,여,대전,일주일에 한두 번,약간 좋아한다,30,5,0,"서점, 도서관 등에서 책을 직접 보고","인터넷의 책 소개, 광고",직접 구입,집에 있는 책,-1,-1,-1,8,"어학, 외국어",13,있다,공공도서관,-1,999,999,시험 공부,-1,변함 없음,약간 감소,약간 증가,변함 없음,약간 증가,매우 증가,변함 없음
1015,1016,여,대전,일주일에 한두 번,약간 좋아한다,10,2,12,"서점, 도서관 등에서 책을 직접 보고","드라마, 영화의 원작",학교 밖 도서관,직접 구입,-1,-1,-1,1,"직업, 취업 관련",14,있다,공공도서관,-1,16,-1,독서 및 도서 대출,-1,약간 증가,매우 증가,매우 증가,매우 증가,매우 증가,매우 증가,매우 증가
1016,1017,여,대전,매일,약간 좋아한다,30,10,0,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,직접 구입,학교 밖 도서관,-1,-1,-1,2,"예술, 문화",12,있다,공공도서관,작은도서관,2,-1,독서 및 도서 대출,-1,약간 증가,변함 없음,변함 없음,매우 감소,매우 증가,변함 없음,변함 없음
1017,1018,여,대전,일주일에 한두 번,약간 좋아한다,50,0,0,각종 기관의 추천도서,베스트셀러,부모님이 사다 주신다,주위 사람에게 대여,-1,-1,-1,2,"어학, 외국어",4,있다,공공도서관,작은도서관,1,-1,독서 및 도서 대출,-1,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1018,1019,여,대전,매일,매우 좋아한다,30,0,0,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,직접 구입,부모님이 사다 주신다,-1,-1,-1,2,수필,7,있다,공공도서관,작은도서관,3,-1,독서 및 도서 대출,-1,매우 증가,변함 없음,변함 없음,변함 없음,매우 증가,변함 없음,변함 없음
1019,1020,여,대전,매일,보통이다,50,10,0,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",직접 구입,주위 사람에게 대여,-1,-1,-1,2,"과학, 기술, 컴퓨터",8,있다,공공도서관,-1,5,-1,독서 및 도서 대출,-1,약간 증가,매우 증가,매우 증가,변함 없음,약간 증가,매우 감소,매우 감소
1020,1021,여,대전,한 달에 한두 번,약간 좋아한다,10,0,0,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,학교 밖 도서관,집에 있는 책,-1,-1,-1,2,자기계발서,3,있다,공공도서관,작은도서관,2,-1,독서 및 도서 대출,-1,약간 감소,변함 없음,변함 없음,변함 없음,약간 감소,약간 증가,매우 감소
1021,1022,여,대전,매일,매우 좋아한다,57,20,1,"서점, 도서관 등에서 책을 직접 보고","유명인, 전문가 추천",직접 구입,부모님이 사다 주신다,-1,-1,-1,6,"과학, 기술, 컴퓨터",11,있다,공공도서관,-1,3,-1,독서 및 도서 대출,-1,약간 증가,약간 증가,변함 없음,변함 없음,약간 증가,약간 증가,변함 없음
1022,1023,여,대전,몇 달에 한번,매우 싫어한다,1,0,0,"인터넷의 책 소개, 광고",각종 기관의 추천도서,직접 구입,학교 밖 도서관,-1,-1,-1,2,수필,14,있다,공공도서관,작은도서관,-1,1,독서 및 도서 대출,-1,매우 감소,매우 감소,매우 감소,매우 감소,변함 없음,매우 감소,매우 감소
1023,1024,여,대전,한 달에 한두 번,약간 좋아한다,7,0,0,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",기타,학교 밖 도서관,-1,-1,-1,2,자기계발서,7,있다,공공도서관,작은도서관,3,-1,독서 및 도서 대출,-1,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,매우 증가,변함 없음
1024,1025,여,대전,일주일에 한두 번,보통이다,0,4,0,"인터넷의 책 소개, 광고","유튜브, 책방송 팟캐스트의 책 소개",부모님이 사다 주신다,주위 사람에게 대여,-1,-1,-1,12,"예술, 문화",7,없다,-1,-1,-1,-1,-1,기타,변함 없음,약간 증가,약간 증가,변함 없음,약간 증가,변함 없음,변함 없음
1025,1026,여,대전,몇 달에 한번,보통이다,3,1,1,"서점, 도서관 등에서 책을 직접 보고","유명인, 전문가 추천",학교 도서관,학교 밖 도서관,-1,-1,-1,2,"역사, 지리",12,있다,공공도서관,-1,2,-1,독서 및 도서 대출,-1,변함 없음,변함 없음,약간 증가,변함 없음,변함 없음,변함 없음,변함 없음
1026,1027,여,대전,몇 달에 한번,약간 싫어한다,12,0,0,"신문이나 잡지의 책 소개, 광고","인터넷의 책 소개, 광고",부모님이 사다 주신다,집에 있는 책,-1,-1,-1,2,수필,1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,매우 감소,매우 감소,변함 없음,매우 감소,매우 감소,약간 감소,약간 감소
1027,1028,남,부산,일주일에 한두 번,약간 싫어한다,15,20,0,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",학교 도서관,집에 있는 책,-1,-1,-1,7,"예술, 문화",9,있다,작은도서관,-1,10,-1,행사 참여,-1,약간 증가,약간 증가,약간 증가,약간 증가,약간 증가,약간 증가,약간 증가
1028,1029,남,부산,매일,약간 좋아한다,90,0,0,"가족, 선생님, 친구 추천","인터넷의 책 소개, 광고",집에 있는 책,직접 구입,-1,-1,-1,2,"철학, 사상, 종교",5,있다,공공도서관,작은도서관,5,-1,독서 및 도서 대출,-1,매우 증가,변함 없음,변함 없음,변함 없음,매우 증가,약간 증가,변함 없음
1029,1030,남,부산,매일,보통이다,2,100,0,"드라마, 영화의 원작","유튜브, 책방송 팟캐스트의 책 소개",직접 구입,선물,-1,-1,-1,12,"과학, 기술, 컴퓨터",7,없다,-1,-1,-1,-1,-1,집에서 멀다,약간 증가,변함 없음,매우 증가,변함 없음,매우 증가,변함 없음,변함 없음
1030,1031,남,부산,한 달에 한두 번,약간 좋아한다,10,3,0,SNS 책 소개,"서점, 도서관 등에서 책을 직접 보고",기타,-1,-1,-1,-1,13,"연예, 오락, 스포츠, 취미, 여행 ",14,있다,공공도서관,-1,-1,10,숙제에 필요한 자료조사,-1,약간 증가,변함 없음,변함 없음,변함 없음,매우 감소,변함 없음,변함 없음
1031,1032,남,부산,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,기타,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1032,1033,남,부산,일주일에 한두 번,보통이다,41,0,0,"서점, 도서관 등에서 책을 직접 보고","유명인, 전문가 추천",직접 구입,주위 사람에게 대여,-1,-1,-1,1,수필,9,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1033,1034,남,부산,매일,매우 좋아한다,15,0,0,베스트셀러,각종 기관의 추천도서,직접 구입,학교 밖 도서관,-1,-1,-1,2,수필,12,있다,공공도서관,-1,2,-1,독서 및 도서 대출,-1,매우 증가,변함 없음,변함 없음,변함 없음,매우 증가,매우 증가,변함 없음
1034,1035,남,부산,전혀 읽지 않음,매우 싫어한다,2,0,0,"가족, 선생님, 친구 추천","서점, 도서관 등에서 책을 직접 보고",부모님이 사다 주신다,학교 도서관,-1,-1,-1,9,"예술, 문화",12,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1035,1036,남,부산,일주일에 한두 번,약간 싫어한다,10,0,0,"서점, 도서관 등에서 책을 직접 보고","유튜브, 책방송 팟캐스트의 책 소개",학교 밖 도서관,학교 도서관,-1,-1,-1,12,"직업, 취업 관련",8,없다,-1,-1,-1,-1,-1,바빠서 이용할 시간이 없다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1036,1037,남,부산,전혀 읽지 않음,약간 좋아한다,150,2,0,"가족, 선생님, 친구 추천","서점, 도서관 등에서 책을 직접 보고",집에 있는 책,직접 구입,-1,-1,-1,9,"연예, 오락, 스포츠, 취미, 여행 ",2,있다,공공도서관,작은도서관,1,-1,독서 및 도서 대출,-1,매우 감소,매우 감소,매우 감소,매우 감소,약간 증가,변함 없음,매우 감소
1037,1038,남,부산,매일,매우 좋아한다,60,0,60,기타,-1,직접 구입,집에 있는 책,-1,-1,-1,4,소설,15,없다,-1,-1,-1,-1,-1,읽을 만한 책이 없다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1038,1039,여,부산,전혀 읽지 않음,매우 싫어한다,2,0,0,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,학교 도서관,주위 사람에게 대여,-1,-1,-1,2,"연예, 오락, 스포츠, 취미, 여행 ",11,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
