,번호,지역,나이,성별,독서빈도,선호도,종이책 독서량,전자책 독서량,오디오북 독서량,도서 선택 시 이용정보1,도서 선택 시 이용정보2,도서 입수경로1,도서 입수경로2,종이책 선호분야1,종이책 선호분야2,전자책 선호분야1,전자책 선호분야2,오디오북 선호분야1,오디오북 선호분야2,지난 1년 도서관 이용여부,주이용 도서관1,주이용 도서관2,월 이용빈도,연 이용빈도,이용목적,비이용 이유,코로나 이후 종이책 독서 증감,코로나 이후 전자책 독서 증감,코로나 이후 웹소설 독서 증감,코로나 이후 오디오북 독서 증감,코로나 이후 독서량,코로나 이후 도서관 방문,코로나 이후 전자도서관 이용,전자책 이용이유1,전자책 이용이유2,전자책 이용방식1,전자책 이용방식2
2993,2994,경기,65,여,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
2994,2995,경기,49,여,일주일에 한두 번,많이 좋아한다,50,2,3,"인터넷의 책 소개, 광고","서점, 도서관 등에서 책을 직접 보고",도서관 대여,직접 구입,소설,"철학, 사상, 종교","철학, 사상, 종교","취미, 오락, 여행, 건강",자기계발서,"취미, 오락, 여행, 건강",있다,전문도서관,공공도서관,10,-1,독서 및 도서 대출,-1,변함 없음,약간 증가,약간 증가,약간 증가,변함 없음,변함 없음,변함 없음,보관과 휴대가 편리해서,시간과 장소에 관계없이 이용할 수 있어서,정기구독 이용,무료 이용
2995,2996,경기,25,남,한 달에 한두 번,보통이다,0,20,0,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,직접 구입,-1,-1,-1,소설,"취미, 오락, 여행, 건강",-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,약간 감소,약간 증가,약간 증가,변함 없음,약간 감소,약간 감소,변함 없음,시간과 장소에 관계없이 이용할 수 있어서,무료로 이용할 수 있어서,무료 이용,구매 이용
2996,2997,경기,40,여,매일,많이 좋아한다,40,0,0,"서점, 도서관 등에서 책을 직접 보고","텔레비전이나 라디오의 책 소개, 광고",직접 구입,도서관 대여,소설,"철학, 사상, 종교",-1,-1,-1,-1,있다,공공도서관,-1,4,-1,독서 및 도서 대출,-1,매우 증가,변함 없음,변함 없음,변함 없음,변함 없음,약간 증가,변함 없음,-1,-1,-1,-1
2997,2998,경기,83,여,전혀 읽지 않음,보통이다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
2998,2999,경기,82,여,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
2999,3000,경기,68,남,몇 달에 한번,보통이다,3,0,0,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,집에 있는 책,직접 구입,"취미, 오락, 여행, 건강","역사, 지리",-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,매우 감소,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,변함 없음,-1,-1,-1,-1
3000,3001,경기,22,남,일주일에 한두 번,약간 좋아한다,5,12,2,"서점, 도서관 등에서 책을 직접 보고","신문이나 잡지의 책 소개, 광고",직접 구입,도서관 대여,"어학, 외국어",소설,"어학, 외국어",소설,소설,수필,있다,공공도서관,대학도서관,13,-1,"공부, 학습",-1,약간 증가,약간 증가,약간 증가,변함 없음,약간 증가,약간 증가,약간 증가,보관과 휴대가 편리해서,시간과 장소에 관계없이 이용할 수 있어서,무료 이용,구매 이용
3001,3002,경기,32,남,일주일에 한두 번,약간 좋아한다,5,10,0,"서점, 도서관 등에서 책을 직접 보고","신문이나 잡지의 책 소개, 광고",직접 구입,도서관 대여,"어학, 외국어",소설,"어학, 외국어",소설,-1,-1,있다,공공도서관,학교도서관,5,-1,독서 및 도서 대출,-1,약간 증가,약간 증가,약간 증가,변함 없음,약간 증가,약간 증가,약간 증가,보관과 휴대가 편리해서,시간과 장소에 관계없이 이용할 수 있어서,무료 이용,구매 이용
3002,3003,경기,33,여,일주일에 한두 번,약간 좋아한다,4,6,0,"서점, 도서관 등에서 책을 직접 보고","신문이나 잡지의 책 소개, 광고",직접 구입,도서관 대여,소설,수필,소설,수필,-1,-1,있다,공공도서관,학교도서관,5,-1,독서 및 도서 대출,-1,약간 증가,약간 증가,약간 증가,변함 없음,약간 증가,약간 증가,약간 증가,보관과 휴대가 편리해서,시간과 장소에 관계없이 이용할 수 있어서,구매 이용,대여 이용
3003,3004,경기,24,여,일주일에 한두 번,약간 좋아한다,5,8,0,"서점, 도서관 등에서 책을 직접 보고","신문이나 잡지의 책 소개, 광고",직접 구입,도서관 대여,"어학, 외국어",소설,"어학, 외국어",소설,-1,-1,있다,대학도서관,공공도서관,11,-1,"공부, 학습",-1,약간 증가,약간 증가,약간 증가,변함 없음,약간 증가,약간 증가,약간 증가,보관과 휴대가 편리해서,시간과 장소에 관계없이 이용할 수 있어서,구매 이용,대여 이용
3004,3005,경기,45,남,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,약간 감소,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,변함 없음,-1,-1,-1,-1
3005,3006,경기,42,여,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,약간 감소,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,변함 없음,-1,-1,-1,-1
3006,3007,경기,53,여,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,약간 감소,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,변함 없음,-1,-1,-1,-1
3007,3008,경기,58,여,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,약간 감소,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,변함 없음,-1,-1,-1,-1
3008,3009,경기,56,남,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,약간 감소,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,변함 없음,-1,-1,-1,-1
3009,3010,경기,68,남,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,변함 없음,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,변함 없음,-1,-1,-1,-1
3010,3011,경기,49,여,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,약간 감소,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,변함 없음,-1,-1,-1,-1
3011,3012,경기,54,남,일주일에 한두 번,약간 좋아한다,5,9,0,"서점, 도서관 등에서 책을 직접 보고","인터넷의 책 소개, 광고",직접 구입,도서관 대여,"어학, 외국어",소설,"어학, 외국어",소설,-1,-1,있다,공공도서관,-1,5,-1,독서 및 도서 대출,-1,약간 증가,약간 증가,약간 증가,변함 없음,약간 증가,변함 없음,변함 없음,보관과 휴대가 편리해서,시간과 장소에 관계없이 이용할 수 있어서,무료 이용,구매 이용
3012,3013,경기,65,남,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,약간 감소,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,변함 없음,-1,-1,-1,-1
3013,3014,경기,25,남,일주일에 한두 번,약간 좋아한다,5,11,3,"신문이나 잡지의 책 소개, 광고","인터넷의 책 소개, 광고",직접 구입,도서관 대여,"어학, 외국어",소설,"어학, 외국어",소설,소설,수필,있다,공공도서관,대학도서관,10,-1,"공부, 학습",-1,약간 증가,약간 증가,약간 증가,약간 증가,약간 증가,약간 증가,약간 증가,보관과 휴대가 편리해서,시간과 장소에 관계없이 이용할 수 있어서,무료 이용,구매 이용
3014,3015,경기,29,여,일주일에 한두 번,약간 좋아한다,3,5,0,"서점, 도서관 등에서 책을 직접 보고","신문이나 잡지의 책 소개, 광고",직접 구입,도서관 대여,소설,수필,소설,수필,-1,-1,있다,공공도서관,학교도서관,5,-1,독서 및 도서 대출,-1,약간 증가,약간 증가,약간 증가,변함 없음,약간 증가,변함 없음,변함 없음,보관과 휴대가 편리해서,시간과 장소에 관계없이 이용할 수 있어서,무료 이용,구매 이용
3015,3016,경기,36,여,일주일에 한두 번,약간 좋아한다,6,10,0,"신문이나 잡지의 책 소개, 광고","인터넷의 책 소개, 광고",직접 구입,도서관 대여,소설,"어학, 외국어",소설,"어학, 외국어",-1,-1,있다,공공도서관,학교도서관,8,-1,독서 및 도서 대출,-1,약간 증가,약간 증가,약간 증가,변함 없음,약간 증가,약간 증가,약간 증가,시간과 장소에 관계없이 이용할 수 있어서,보관과 휴대가 편리해서,구매 이용,대여 이용
3016,3017,경기,44,여,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,약간 감소,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,변함 없음,-1,-1,-1,-1
3017,3018,경기,58,여,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,약간 감소,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,변함 없음,-1,-1,-1,-1
3018,3019,경기,33,남,전혀 읽지 않음,보통이다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,약간 감소,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,변함 없음,-1,-1,-1,-1
3019,3020,경기,42,남,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,변함 없음,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,변함 없음,-1,-1,-1,-1
3020,3021,경기,27,여,일주일에 한두 번,약간 좋아한다,5,8,0,"서점, 도서관 등에서 책을 직접 보고","신문이나 잡지의 책 소개, 광고",직접 구입,도서관 대여,"어학, 외국어",소설,"어학, 외국어",소설,-1,-1,있다,공공도서관,-1,7,-1,"공부, 학습",-1,약간 증가,약간 증가,약간 증가,변함 없음,약간 증가,변함 없음,변함 없음,보관과 휴대가 편리해서,시간과 장소에 관계없이 이용할 수 있어서,구매 이용,대여 이용
3021,3022,경기,69,남,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,변함 없음,-1,-1,-1,-1
3022,3023,경기,35,여,일주일에 한두 번,약간 좋아한다,4,6,2,"서점, 도서관 등에서 책을 직접 보고","신문이나 잡지의 책 소개, 광고",직접 구입,도서관 대여,소설,자기계발서,소설,자기계발서,소설,수필,있다,공공도서관,학교도서관,6,-1,독서 및 도서 대출,-1,약간 증가,약간 증가,약간 증가,약간 증가,약간 증가,변함 없음,변함 없음,보관과 휴대가 편리해서,시간과 장소에 관계없이 이용할 수 있어서,무료 이용,구매 이용
3023,3024,경기,48,여,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,약간 감소,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,변함 없음,-1,-1,-1,-1
3024,3025,경기,58,남,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,변함 없음,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,변함 없음,-1,-1,-1,-1
3025,3026,경기,73,여,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
3026,3027,경기,53,여,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,약간 감소,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,변함 없음,-1,-1,-1,-1
3027,3028,경기,33,남,일주일에 한두 번,약간 좋아한다,5,10,0,"서점, 도서관 등에서 책을 직접 보고","인터넷의 책 소개, 광고",직접 구입,도서관 대여,소설,"어학, 외국어",소설,"어학, 외국어",-1,-1,있다,공공도서관,직장도서관,6,-1,독서 및 도서 대출,-1,약간 증가,약간 증가,약간 증가,변함 없음,약간 증가,변함 없음,변함 없음,보관과 휴대가 편리해서,시간과 장소에 관계없이 이용할 수 있어서,무료 이용,구매 이용
3028,3029,경기,43,남,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
3029,3030,경기,24,남,일주일에 한두 번,약간 좋아한다,5,10,3,"신문이나 잡지의 책 소개, 광고","인터넷의 책 소개, 광고",직접 구입,도서관 대여,"어학, 외국어",소설,"어학, 외국어",소설,소설,수필,있다,공공도서관,대학도서관,15,-1,"공부, 학습",-1,약간 증가,약간 증가,약간 증가,약간 증가,약간 증가,약간 증가,약간 증가,보관과 휴대가 편리해서,시간과 장소에 관계없이 이용할 수 있어서,구매 이용,대여 이용
3030,3031,경기,56,여,전혀 읽지 않음,보통이다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
3031,3032,경기,38,여,전혀 읽지 않음,보통이다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
3032,3033,경기,43,남,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
3033,3034,경기,19,여,일주일에 한두 번,약간 좋아한다,5,0,0,"인터넷의 책 소개, 광고","서점, 도서관 등에서 책을 직접 보고",직접 구입,주위 사람에게 대여,소설,자기계발서,-1,-1,-1,-1,있다,공공도서관,-1,2,-1,"공부, 학습",-1,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
3034,3035,경기,65,남,전혀 읽지 않음,보통이다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
3035,3036,경기,28,여,일주일에 한두 번,약간 좋아한다,3,0,0,"유명인, 전문가 추천","신문이나 잡지의 책 소개, 광고",직접 구입,주위 사람에게 대여,"경제, 경영",재테크,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,-1,-1,-1,-1
3036,3037,경기,48,여,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
3037,3038,경기,60,남,전혀 읽지 않음,보통이다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
3038,3039,경기,33,남,전혀 읽지 않음,보통이다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
3039,3040,경기,48,여,전혀 읽지 않음,보통이다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
3040,3041,경기,25,여,한 달에 한두 번,약간 좋아한다,11,3,0,"서점, 도서관 등에서 책을 직접 보고","인터넷의 책 소개, 광고",도서관 대여,직접 구입,자기계발서,"어학, 외국어",소설,"철학, 사상, 종교",-1,-1,있다,대학도서관,-1,2,-1,"공부, 학습",-1,변함 없음,변함 없음,변함 없음,변함 없음,약간 감소,약간 감소,약간 감소,시간과 장소에 관계없이 이용할 수 있어서,보관과 휴대가 편리해서,구매 이용,대여 이용
3041,3042,경기,29,남,몇 달에 한번,보통이다,2,0,0,"서점, 도서관 등에서 책을 직접 보고","가족, 친구 추천",직접 구입,주위 사람에게 대여,소설,자기계발서,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,약간 감소,변함 없음,변함 없음,변함 없음,약간 감소,약간 감소,약간 감소,-1,-1,-1,-1
3042,3043,경기,32,남,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,약간 감소,약간 감소,약간 감소,-1,-1,-1,-1
3043,3044,경기,52,여,전혀 읽지 않음,보통이다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,변함 없음,-1,-1,-1,-1
3044,3045,경기,35,여,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,약간 감소,약간 감소,-1,-1,-1,-1
3045,3046,경기,61,남,전혀 읽지 않음,보통이다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
3046,3047,경기,64,여,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
3047,3048,경기,42,여,몇 달에 한번,약간 싫어한다,2,0,0,"인터넷의 책 소개, 광고","텔레비전이나 라디오의 책 소개, 광고",직접 구입,-1,시,소설,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,약간 감소,변함 없음,변함 없음,변함 없음,약간 감소,약간 감소,약간 감소,-1,-1,-1,-1
3048,3049,경기,55,남,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
3049,3050,경기,45,남,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
3050,3051,경기,31,여,일주일에 한두 번,약간 좋아한다,0,100,0,베스트셀러,"유튜브, 책방송 팟캐스트의 책 소개",직접 구입,-1,-1,-1,소설,수필,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,약간 감소,약간 증가,변함 없음,변함 없음,약간 증가,약간 감소,변함 없음,보관과 휴대가 편리해서,시간과 장소에 관계없이 이용할 수 있어서,구매 이용,무료 이용
3051,3052,경기,60,여,일주일에 한두 번,약간 좋아한다,24,2,2,"서점, 도서관 등에서 책을 직접 보고","가족, 친구 추천",직접 구입,도서관 대여,소설,수필,수필,"예술, 문화",소설,수필,있다,공공도서관,-1,2,-1,독서 및 도서 대출,-1,약간 증가,약간 증가,약간 증가,약간 증가,약간 증가,변함 없음,변함 없음,보관과 휴대가 편리해서,시간과 장소에 관계없이 이용할 수 있어서,구매 이용,무료 이용
3052,3053,경기,66,여,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
3053,3054,경기,53,여,일주일에 한두 번,보통이다,5,0,0,"서점, 도서관 등에서 책을 직접 보고","가족, 친구 추천",직접 구입,-1,수필,소설,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시설이 낡아서 쾌적하지 않다,약간 증가,변함 없음,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,-1,-1,-1,-1
3054,3055,경기,51,여,몇 달에 한번,약간 좋아한다,0,0,3,"서점, 도서관 등에서 책을 직접 보고","가족, 친구 추천",선물,-1,-1,-1,-1,-1,소설,수필,없다,-1,-1,-1,-1,-1,읽을 만한 책이 없다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,-1,-1,무료 이용,-1
3055,3056,경기,24,남,한 달에 한두 번,보통이다,5,0,0,"가족, 친구 추천",베스트셀러,직접 구입,도서관 대여,"철학, 사상, 종교",소설,-1,-1,-1,-1,있다,공공도서관,대학도서관,2,-1,자료조사,-1,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,-1,-1,-1,-1
3056,3057,경기,20,여,몇 달에 한번,보통이다,5,0,0,"서점, 도서관 등에서 책을 직접 보고","가족, 친구 추천",직접 구입,도서관 대여,수필,소설,-1,-1,-1,-1,있다,공공도서관,대학도서관,1,-1,독서 및 도서 대출,-1,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,-1,-1,-1,-1
3057,3058,경기,45,여,몇 달에 한번,보통이다,3,0,0,"서점, 도서관 등에서 책을 직접 보고","가족, 친구 추천",집에 있는 책,주위 사람에게 대여,수필,시,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
3058,3059,경기,36,여,일주일에 한두 번,보통이다,6,0,0,"서점, 도서관 등에서 책을 직접 보고","가족, 친구 추천",직접 구입,도서관 대여,수필,소설,-1,-1,-1,-1,있다,공공도서관,-1,1,-1,독서 및 도서 대출,-1,약간 증가,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
3059,3060,경기,57,남,몇 달에 한번,보통이다,7,0,0,"가족, 친구 추천","텔레비전이나 라디오의 책 소개, 광고",집에 있는 책,직접 구입,"철학, 사상, 종교",수필,-1,-1,-1,-1,있다,공공도서관,-1,-1,4,독서 및 도서 대출,-1,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,-1,-1,-1,-1
3060,3061,경기,66,남,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
3061,3062,경기,55,여,일주일에 한두 번,보통이다,14,0,0,"가족, 친구 추천","유명인, 전문가 추천",집에 있는 책,주위 사람에게 대여,수필,소설,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,읽을 만한 책이 없다,약간 증가,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
3062,3063,경기,19,여,한 달에 한두 번,보통이다,2,0,0,"인터넷의 책 소개, 광고","가족, 친구 추천",직접 구입,도서관 대여,수필,소설,-1,-1,-1,-1,있다,공공도서관,대학도서관,1,-1,"공부, 학습",-1,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,-1,-1,-1,-1
3063,3064,경기,43,남,일주일에 한두 번,보통이다,30,0,0,베스트셀러,"가족, 친구 추천",직접 구입,도서관 대여,"철학, 사상, 종교",수필,-1,-1,-1,-1,있다,공공도서관,-1,-1,6,독서 및 도서 대출,-1,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,변함 없음,약간 증가,-1,-1,-1,-1
3064,3065,경기,54,여,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
3065,3066,경기,64,남,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
3066,3067,경기,58,여,몇 달에 한번,보통이다,2,0,0,"텔레비전이나 라디오의 책 소개, 광고","가족, 친구 추천",주위 사람에게 대여,집에 있는 책,수필,시,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,약간 감소,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
3067,3068,경기,41,여,일주일에 한두 번,보통이다,2,0,0,"가족, 친구 추천","서점, 도서관 등에서 책을 직접 보고",직접 구입,주위 사람에게 대여,수필,소설,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,읽을 만한 책이 없다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,-1,-1,-1,-1
3068,3069,경기,21,남,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,매우 감소,변함 없음,-1,-1,-1,-1
