,학교구분,성별,학교 소재지,독서 빈도,독서장애요인1,독서장애요인2,도서 선택시 이용정보1,도서 선택시 이용정보2,도서 입수경로1,도서 입수경로2,초등 독서분야 선호도1,초등 독서분야 선호도2,초등 독서분야 선호도3,중고등 독서분야 선호도1,중고등 독서분야 선호도2,중고등 독서분야 선호도3,학교 밖 도서관이용경험,주이용 도서관 종류1,주이용 도서관 종류2,이용 이유,비이용 이유,연도,종이책 독서 빈도,전자책 독서 빈도,오디오북 이용 빈도,종이신문,인터넷신문,종이잡지,웹진,만화책,웹툰,독서선호도,월 평균 이용빈도,연 평균 이용빈도,평일 평균 독서시간(분),주말 평균 독서시간(분),종이_평일 평균 독서시간(분),종이_주말 평균 독서시간(분),전자_평일 평균 독서시간(분),전자_주말 평균 독서시간(분),오디오_평일 평균 독서시간(분),오디오_주말 평균 독서시간(분),종이책,전자책,웹소설,오디오북,총 독서량,도서관 방문,전자도서관 이용,전자책/오디오북/웹소설 구독
1091,중등,남,서울,매일,"휴대전화,인터넷,텔레비전,게임 등을 이용해서",읽을 만한 책이 없어서,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,집에 있는 책,부모님께서 구입,0,0,0,소설,"연예, 오락, 스포츠, 취미, 여행 ",문학(시/수필),있다,공공도서관,작은도서관,독서 및 도서 대출,0,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매우 좋아한다,매우 감소,0.0,0.0,0.0,90.0,120.0,0.0,0.0,0.0,0.0,매우 증가,약간 증가,매우 증가,매우 증가,9,매우 증가,약간 증가,매우 증가
1092,중등,남,서울,일주일에 한두 번,책읽기가 싫고 습관이 들지않아서,책읽기가 싫고 습관이 들지않아서,0,0,0,0,0,0,0,0,0,0,없다,0,0,0,책을 잘 읽지 않는다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매우 싫어한다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매우 감소,매우 감소,매우 감소,매우 감소,매우 감소,매우 감소,매우 감소,매우 감소
1093,중등,남,서울,매일,책읽기가 싫고 습관이 들지않아서,"휴대전화,인터넷,텔레비전,게임 등을 이용해서",베스트셀러,"드라마, 영화의 원작",집에 있는 책,선물받은 책,0,0,0,소설,"연예, 오락, 스포츠, 취미, 여행 ","역사, 지리",없다,0,0,0,원하는 책이 없다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,보통이다,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,매우 감소,매우 감소,약간 증가,매우 감소,변함 없음,매우 감소,매우 감소,변함 없음
1094,중등,남,서울,전혀 읽지 않음,"휴대전화,인터넷,텔레비전,게임 등을 이용해서",책읽기가 싫고 습관이 들지않아서,0,0,0,0,0,0,0,0,0,0,없다,0,0,0,학업 등의 이유로 바빠서 이용할 시간이 없다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,약간 싫어한다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1095,중등,남,서울,몇 달에 한번,학업 때문에 책읽을시간이 없어서,"휴대전화,인터넷,텔레비전,게임 등을 이용해서","서점, 도서관 등에서 책을 직접 보고","신문이나 잡지의 책 소개, 광고",직접 구입,부모님께서 구입,0,0,0,"경제, 경영",기타,자기계발서,없다,0,0,0,학업 등의 이유로 바빠서 이용할 시간이 없다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,약간 좋아한다,0.0,0.0,0.0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,약간 증가,약간 증가,변함 없음,약간 증가,약간 증가,약간 증가,약간 증가,약간 증가
1096,중등,남,충북,일주일에 한두 번,학업 때문에 책읽을시간이 없어서,어떤 책을 읽을지 몰라서,기타,베스트셀러,부모님께서 구입,집에 있는 책,0,0,0,소설,"연예, 오락, 스포츠, 취미, 여행 ","어학, 외국어",없다,0,0,0,집에서 멀다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,약간 싫어한다,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,매우 증가,매우 감소,매우 감소,매우 감소,매우 증가,매우 감소,매우 감소,매우 감소
1097,중등,남,충북,일주일에 한두 번,어떤 책을 읽을지 몰라서,책읽기가 싫고 습관이 들지않아서,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",학교 도서관 대여,주위 사람에게 대여,0,0,0,소설,"철학, 사상, 종교","연예, 오락, 스포츠, 취미, 여행 ",있다,공공도서관,기타,독서 및 도서 대출,0,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,약간 좋아한다,약간 증가,0.0,0.0,0.0,30.0,0.0,60.0,150.0,0.0,0.0,약간 증가,변함 없음,매우 증가,변함 없음,약간 증가,약간 증가,변함 없음,변함 없음
1098,중등,남,충북,몇 달에 한번,책읽기가 싫고 습관이 들지않아서,책읽기가 싫고 습관이 들지않아서,"가족, 선생님, 친구 추천","유튜브, 책방송 팟캐스트의 책 소개",집에 있는 책,학교 밖 도서관 대여,0,0,0,"연예, 오락, 스포츠, 취미, 여행 ","직업, 취업 관련",문학(시/수필),있다,기타,작은도서관,숙제에 필요한 자료조사,0,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,약간 싫어한다,0.0,매우 감소,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,약간 증가,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,약간 감소
1099,중등,남,충북,매일,학업 때문에 책읽을시간이 없어서,책읽기가 싫고 습관이 들지않아서,"드라마, 영화의 원작","서점, 도서관 등에서 책을 직접 보고",직접 구입,학교 도서관 대여,0,0,0,소설,"과학, 기술, 컴퓨터","역사, 지리",없다,0,0,0,읽고 싶은 책은 사서 읽는다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,약간 좋아한다,0.0,0.0,0.0,0.0,120.0,60.0,0.0,0.0,0.0,0.0,변함 없음,변함 없음,약간 증가,변함 없음,매우 증가,매우 증가,변함 없음,변함 없음
1100,중등,남,충북,일주일에 한두 번,책읽기가 싫고 습관이 들지않아서,책읽기가 싫고 습관이 들지않아서,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",학교 도서관 대여,집에 있는 책,0,0,0,"과학, 기술, 컴퓨터",소설,"예술, 문화",없다,0,0,0,학업 등의 이유로 바빠서 이용할 시간이 없다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,약간 좋아한다,0.0,0.0,0.0,0.0,30.0,60.0,30.0,120.0,10.0,60.0,약간 증가,매우 증가,매우 증가,약간 증가,매우 증가,매우 증가,매우 증가,약간 감소
1101,중등,남,충북,매일,학업 때문에 책읽을시간이 없어서,기타,"서점, 도서관 등에서 책을 직접 보고",기타,학교 도서관 대여,직접 구입,0,0,0,소설,자기계발서,0,없다,0,0,0,주로 학교도서관을 이용한다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매우 좋아한다,0.0,0.0,0.0,0.0,60.0,10.0,10.0,10.0,0.0,0.0,매우 증가,변함 없음,변함 없음,변함 없음,매우 증가,매우 증가,변함 없음,변함 없음
1102,중등,남,충북,매일,"휴대전화,인터넷,텔레비전,게임 등을 이용해서",어떤 책을 읽을지 몰라서,"서점, 도서관 등에서 책을 직접 보고",각종 기관의 추천도서,학교 도서관 대여,부모님께서 구입,0,0,0,소설,"과학, 기술, 컴퓨터","역사, 지리",없다,0,0,0,주로 학교도서관을 이용한다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,약간 좋아한다,0.0,0.0,0.0,0.0,60.0,90.0,60.0,120.0,0.0,0.0,약간 증가,매우 증가,약간 증가,변함 없음,매우 증가,약간 증가,변함 없음,변함 없음
1103,중등,남,충북,매일,어떤 책을 읽을지 몰라서,기타,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",학교 밖 도서관 대여,직접 구입,0,0,0,소설,"과학, 기술, 컴퓨터","가정, 육아, 요리",있다,공공도서관,작은도서관,독서 및 도서 대출,0,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매우 좋아한다,8.0,0.0,0.0,0.0,90.0,150.0,120.0,180.0,0.0,0.0,약간 증가,매우 증가,매우 증가,매우 감소,매우 증가,매우 증가,변함 없음,변함 없음
1104,중등,남,충북,매일,책읽기가 싫고 습관이 들지않아서,학업 때문에 책읽을시간이 없어서,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,직접 구입,학교 도서관 대여,0,0,0,소설,"역사, 지리","연예, 오락, 스포츠, 취미, 여행 ",없다,0,0,0,읽고 싶은 책은 사서 읽는다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,약간 좋아한다,0.0,0.0,0.0,0.0,0.0,0.0,60.0,120.0,0.0,0.0,약간 증가,매우 증가,매우 증가,변함 없음,약간 증가,약간 증가,약간 증가,약간 증가
1105,중등,남,충북,일주일에 한두 번,책읽기가 싫고 습관이 들지않아서,책을 읽고 이해하기가 어려워서,"드라마, 영화의 원작","서점, 도서관 등에서 책을 직접 보고",학교 도서관 대여,부모님께서 구입,0,0,0,기타,소설,"직업, 취업 관련",없다,0,0,0,책을 잘 읽지 않는다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,보통이다,0.0,0.0,0.0,0.0,10.0,0.0,10.0,30.0,0.0,0.0,매우 증가,약간 감소,변함 없음,9,약간 증가,매우 증가,변함 없음,변함 없음
1106,중등,남,충북,일주일에 한두 번,"휴대전화,인터넷,텔레비전,게임 등을 이용해서",책읽기가 싫고 습관이 들지않아서,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,집에 있는 책,학교 도서관 대여,0,0,0,"예술, 문화","연예, 오락, 스포츠, 취미, 여행 ","역사, 지리",없다,0,0,0,학업 등의 이유로 바빠서 이용할 시간이 없다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,보통이다,0.0,0.0,0.0,0.0,60.0,0.0,180.0,240.0,0.0,0.0,약간 증가,변함 없음,약간 증가,변함 없음,약간 증가,매우 증가,변함 없음,변함 없음
1107,중등,남,충북,한 달에 한두 번,책읽기가 싫고 습관이 들지않아서,책을 읽고 이해하기가 어려워서,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,직접 구입,학교 도서관 대여,0,0,0,기타,소설,"연예, 오락, 스포츠, 취미, 여행 ",있다,공공도서관,작은도서관,시험 공부,0,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,보통이다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,변함 없음,약간 감소,매우 감소
1108,중등,남,충북,매일,"휴대전화,인터넷,텔레비전,게임 등을 이용해서",책읽기가 싫고 습관이 들지않아서,"드라마, 영화의 원작","유튜브, 책방송 팟캐스트의 책 소개",기타,부모님께서 구입,0,0,0,"연예, 오락, 스포츠, 취미, 여행 ",소설,"직업, 취업 관련",있다,공공도서관,작은도서관,독서 및 도서 대출,0,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매우 싫어한다,0.0,약간 증가,0.0,0.0,0.0,0.0,20.0,60.0,0.0,0.0,변함 없음,변함 없음,매우 증가,변함 없음,매우 증가,약간 증가,변함 없음,매우 증가
1109,중등,남,충북,일주일에 한두 번,책읽기가 싫고 습관이 들지않아서,기타,"유튜브, 책방송 팟캐스트의 책 소개","서점, 도서관 등에서 책을 직접 보고",직접 구입,집에 있는 책,0,0,0,"연예, 오락, 스포츠, 취미, 여행 ",소설,기타,없다,0,0,0,읽고 싶은 책은 사서 읽는다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,약간 좋아한다,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,약간 증가,약간 증가,약간 증가,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1110,중등,남,충북,일주일에 한두 번,"휴대전화,인터넷,텔레비전,게임 등을 이용해서",책읽기가 싫고 습관이 들지않아서,"서점, 도서관 등에서 책을 직접 보고","유명인, 전문가 추천",학교 도서관 대여,부모님께서 구입,0,0,0,"연예, 오락, 스포츠, 취미, 여행 ",소설,"과학, 기술, 컴퓨터",있다,공공도서관,작은도서관,독서 및 도서 대출,0,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,보통이다,0.0,매우 증가,0.0,0.0,20.0,30.0,30.0,30.0,10.0,10.0,약간 증가,약간 증가,약간 증가,변함 없음,약간 증가,약간 감소,약간 감소,변함 없음
1111,중등,남,충북,한 달에 한두 번,책읽기가 싫고 습관이 들지않아서,책읽기가 싫고 습관이 들지않아서,"서점, 도서관 등에서 책을 직접 보고","유명인, 전문가 추천",학교 도서관 대여,집에 있는 책,0,0,0,소설,"역사, 지리","어학, 외국어",없다,0,0,0,책을 잘 읽지 않는다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매우 싫어한다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,변함 없음,약간 증가,약간 증가,변함 없음,변함 없음,약간 감소,변함 없음,변함 없음
1112,중등,남,충북,일주일에 한두 번,책읽기가 싫고 습관이 들지않아서,어떤 책을 읽을지 몰라서,"가족, 선생님, 친구 추천",베스트셀러,학교 도서관 대여,기타,0,0,0,자기계발서,소설,"정치, 사회, 시사",있다,공공도서관,작은도서관,독서 및 도서 대출,0,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,약간 좋아한다,약간 증가,0.0,0.0,0.0,60.0,120.0,0.0,0.0,0.0,0.0,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,약간 감소,변함 없음,변함 없음
1113,중등,남,충북,일주일에 한두 번,"휴대전화,인터넷,텔레비전,게임 등을 이용해서",책읽기가 싫고 습관이 들지않아서,"가족, 선생님, 친구 추천",각종 기관의 추천도서,학교 도서관 대여,부모님께서 구입,0,0,0,소설,"과학, 기술, 컴퓨터","어학, 외국어",없다,0,0,0,학업 등의 이유로 바빠서 이용할 시간이 없다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,약간 좋아한다,0.0,0.0,0.0,0.0,60.0,120.0,30.0,0.0,90.0,30.0,약간 증가,변함 없음,변함 없음,변함 없음,변함 없음,약간 증가,약간 감소,변함 없음
1114,중등,남,충북,매일,책읽기가 싫고 습관이 들지않아서,"휴대전화,인터넷,텔레비전,게임 등을 이용해서",SNS 책 소개,"드라마, 영화의 원작",기타,주위 사람에게 대여,0,0,0,"연예, 오락, 스포츠, 취미, 여행 ","가정, 육아, 요리","예술, 문화",있다,공공도서관,작은도서관,기타,0,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매우 싫어한다,0.0,매우 증가,0.0,0.0,0.0,0.0,120.0,180.0,0.0,0.0,매우 감소,매우 증가,매우 증가,매우 감소,매우 증가,매우 감소,매우 감소,매우 증가
1115,중등,남,충북,일주일에 한두 번,책읽기가 싫고 습관이 들지않아서,"휴대전화,인터넷,텔레비전,게임 등을 이용해서","유튜브, 책방송 팟캐스트의 책 소개","드라마, 영화의 원작",직접 구입,집에 있는 책,0,0,0,"연예, 오락, 스포츠, 취미, 여행 ",소설,"역사, 지리",없다,0,0,0,책을 잘 읽지 않는다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,보통이다,0.0,0.0,0.0,0.0,60.0,61.0,124.0,211.0,0.0,0.0,변함 없음,약간 증가,약간 증가,변함 없음,매우 증가,약간 증가,약간 증가,약간 증가
1116,중등,남,충북,한 달에 한두 번,어떤 책을 읽을지 몰라서,책을 읽고 이해하기가 어려워서,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",학교 도서관 대여,집에 있는 책,0,0,0,소설,"연예, 오락, 스포츠, 취미, 여행 ","과학, 기술, 컴퓨터",없다,0,0,0,학업 등의 이유로 바빠서 이용할 시간이 없다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,약간 싫어한다,0.0,0.0,0.0,0.0,70.0,30.0,30.0,60.0,0.0,0.0,약간 증가,약간 증가,변함 없음,약간 감소,약간 증가,매우 증가,매우 감소,매우 감소
1117,중등,남,충북,일주일에 한두 번,책읽기가 싫고 습관이 들지않아서,책을 읽을만한 가정환경이 아니어서,"드라마, 영화의 원작","인터넷의 책 소개, 광고",선물받은 책,부모님께서 구입,0,0,0,"직업, 취업 관련","경제, 경영","연예, 오락, 스포츠, 취미, 여행 ",있다,공공도서관,작은도서관,숙제에 필요한 자료조사,0,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,보통이다,0.0,0.0,0.0,0.0,15.0,0.0,40.0,0.0,0.0,0.0,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,약간 증가,약간 증가,약간 증가
1118,중등,남,충북,한 달에 한두 번,책읽기가 싫고 습관이 들지않아서,"휴대전화,인터넷,텔레비전,게임 등을 이용해서",0,0,0,0,0,0,0,0,0,0,없다,0,0,0,주로 학교도서관을 이용한다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,약간 싫어한다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1119,중등,남,충북,일주일에 한두 번,"휴대전화,인터넷,텔레비전,게임 등을 이용해서",책읽기가 싫고 습관이 들지않아서,0,0,0,0,0,0,0,0,0,0,있다,공공도서관,기타,기타,0,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,약간 싫어한다,0.0,0.0,0.0,0.0,0.0,0.0,30.0,60.0,0.0,0.0,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1120,중등,남,충북,매일,학업 때문에 책읽을시간이 없어서,책을 빌릴 곳이 없어서,"서점, 도서관 등에서 책을 직접 보고",기타,학교 도서관 대여,기타,0,0,0,"철학, 사상, 종교",소설,문학(시/수필),없다,0,0,0,이용 절차가 까다롭다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매우 좋아한다,0.0,0.0,0.0,0.0,60.0,0.0,0.0,120.0,0.0,0.0,매우 증가,약간 증가,변함 없음,변함 없음,매우 증가,약간 증가,변함 없음,변함 없음
1121,중등,남,충북,일주일에 한두 번,책읽기가 싫고 습관이 들지않아서,"휴대전화,인터넷,텔레비전,게임 등을 이용해서",기타,SNS 책 소개,집에 있는 책,선물받은 책,0,0,0,"과학, 기술, 컴퓨터","예술, 문화",소설,없다,0,0,0,집에서 멀다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,약간 좋아한다,0.0,0.0,0.0,0.0,180.0,60.0,0.0,120.0,0.0,0.0,변함 없음,변함 없음,변함 없음,변함 없음,약간 감소,약간 감소,변함 없음,변함 없음
1122,중등,남,충북,한 달에 한두 번,읽을 만한 책이 없어서,어떤 책을 읽을지 몰라서,"신문이나 잡지의 책 소개, 광고","인터넷의 책 소개, 광고",학교 도서관 대여,주위 사람에게 대여,0,0,0,"연예, 오락, 스포츠, 취미, 여행 ","예술, 문화","과학, 기술, 컴퓨터",있다,작은도서관,공공도서관,숙제에 필요한 자료조사,0,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,보통이다,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,약간 증가,약간 증가,약간 증가,약간 증가,약간 증가,변함 없음,변함 없음,약간 증가
1123,중등,남,충북,일주일에 한두 번,책읽기가 싫고 습관이 들지않아서,"휴대전화,인터넷,텔레비전,게임 등을 이용해서","가족, 선생님, 친구 추천","유명인, 전문가 추천",부모님께서 구입,학교 도서관 대여,0,0,0,"연예, 오락, 스포츠, 취미, 여행 ","역사, 지리",소설,없다,0,0,0,책을 잘 읽지 않는다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매우 싫어한다,0.0,0.0,0.0,0.0,60.0,0.0,120.0,0.0,0.0,0.0,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1124,중등,남,경남,일주일에 한두 번,무응답,0,"유명인, 전문가 추천",베스트셀러,집에 있는 책,부모님께서 구입,0,0,0,"직업, 취업 관련",소설,"과학, 기술, 컴퓨터",있다,공공도서관,작은도서관,독서 및 도서 대출,0,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,약간 좋아한다,변함 없음,0.0,0.0,0.0,150.0,340.0,0.0,0.0,0.0,0.0,약간 증가,매우 감소,매우 감소,매우 감소,매우 증가,변함 없음,변함 없음,변함 없음
1125,중등,남,경남,일주일에 한두 번,책읽기가 싫고 습관이 들지않아서,"휴대전화,인터넷,텔레비전,게임 등을 이용해서","서점, 도서관 등에서 책을 직접 보고",베스트셀러,직접 구입,부모님께서 구입,0,0,0,소설,"과학, 기술, 컴퓨터","연예, 오락, 스포츠, 취미, 여행 ",없다,0,0,0,집에서 멀다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,약간 좋아한다,0.0,0.0,0.0,0.0,30.0,60.0,30.0,120.0,120.0,300.0,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1126,중등,남,경남,몇 달에 한번,"휴대전화,인터넷,텔레비전,게임 등을 이용해서",학업 때문에 책읽을시간이 없어서,"신문이나 잡지의 책 소개, 광고","드라마, 영화의 원작",학교 밖 도서관 대여,집에 있는 책,0,0,0,소설,"연예, 오락, 스포츠, 취미, 여행 ","정치, 사회, 시사",있다,공공도서관,작은도서관,독서 및 도서 대출,0,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,보통이다,약간 증가,0.0,0.0,0.0,60.0,60.0,20.0,10.0,10.0,10.0,약간 증가,변함 없음,약간 감소,약간 증가,매우 증가,변함 없음,변함 없음,변함 없음
1127,중등,남,경남,한 달에 한두 번,책읽기가 싫고 습관이 들지않아서,책읽기가 싫고 습관이 들지않아서,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,학교 도서관 대여,직접 구입,0,0,0,소설,문학(시/수필),"직업, 취업 관련",있다,공공도서관,작은도서관,독서 및 도서 대출,0,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,보통이다,0.0,약간 감소,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1128,중등,남,경남,몇 달에 한번,책읽기가 싫고 습관이 들지않아서,"휴대전화,인터넷,텔레비전,게임 등을 이용해서",0,0,0,0,0,0,0,0,0,0,없다,0,0,0,책을 잘 읽지 않는다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매우 싫어한다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1129,중등,남,경남,몇 달에 한번,"휴대전화,인터넷,텔레비전,게임 등을 이용해서",책을 읽고 이해하기가 어려워서,기타,"드라마, 영화의 원작",기타,직접 구입,0,0,0,기타,소설,"과학, 기술, 컴퓨터",없다,0,0,0,원하는 책이 없다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매우 싫어한다,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1130,중등,남,경남,일주일에 한두 번,"휴대전화,인터넷,텔레비전,게임 등을 이용해서",학업 때문에 책읽을시간이 없어서,"드라마, 영화의 원작","유튜브, 책방송 팟캐스트의 책 소개",직접 구입,선물받은 책,0,0,0,문학(시/수필),"경제, 경영","가정, 육아, 요리",없다,0,0,0,집에서 멀다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,약간 좋아한다,0.0,0.0,0.0,0.0,0.0,10.0,90.0,150.0,30.0,60.0,변함 없음,변함 없음,약간 증가,9,매우 증가,변함 없음,변함 없음,약간 증가
1131,중등,남,경남,매일,"휴대전화,인터넷,텔레비전,게임 등을 이용해서",책읽기가 싫고 습관이 들지않아서,"유튜브, 책방송 팟캐스트의 책 소개",SNS 책 소개,직접 구입,선물받은 책,0,0,0,"역사, 지리","예술, 문화","정치, 사회, 시사",없다,0,0,0,학업 등의 이유로 바빠서 이용할 시간이 없다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,약간 좋아한다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,약간 증가,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1132,중등,남,경남,매일,책읽기가 싫고 습관이 들지않아서,책을 읽고 이해하기가 어려워서,"드라마, 영화의 원작","유튜브, 책방송 팟캐스트의 책 소개",집에 있는 책,직접 구입,0,0,0,"역사, 지리","정치, 사회, 시사","직업, 취업 관련",없다,0,0,0,읽고 싶은 책은 사서 읽는다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,약간 좋아한다,0.0,0.0,0.0,0.0,매우 증가,60.0,120.0,240.0,0.0,0.0,약간 감소,변함 없음,약간 증가,변함 없음,약간 증가,매우 감소,매우 감소,매우 감소
1133,중등,남,경남,일주일에 한두 번,"휴대전화,인터넷,텔레비전,게임 등을 이용해서",책읽기가 싫고 습관이 들지않아서,"서점, 도서관 등에서 책을 직접 보고",SNS 책 소개,직접 구입,학교 도서관 대여,0,0,0,소설,"연예, 오락, 스포츠, 취미, 여행 ","과학, 기술, 컴퓨터",없다,0,0,0,집에서 멀다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,보통이다,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,약간 증가,변함 없음,약간 증가,변함 없음,매우 증가,매우 증가,약간 증가,변함 없음
1134,중등,남,경남,매일,"휴대전화,인터넷,텔레비전,게임 등을 이용해서",책읽기가 싫고 습관이 들지않아서,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,직접 구입,학교 도서관 대여,0,0,0,소설,"과학, 기술, 컴퓨터","예술, 문화",없다,0,0,0,원하는 책이 없다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,보통이다,0.0,0.0,0.0,0.0,30.0,0.0,60.0,90.0,0.0,0.0,약간 증가,변함 없음,약간 증가,변함 없음,약간 증가,변함 없음,변함 없음,변함 없음
1135,중등,남,경남,일주일에 한두 번,책읽기가 싫고 습관이 들지않아서,"휴대전화,인터넷,텔레비전,게임 등을 이용해서","서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",학교 도서관 대여,직접 구입,0,0,0,소설,"직업, 취업 관련","역사, 지리",있다,공공도서관,작은도서관,독서 및 도서 대출,0,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,보통이다,매우 증가,0.0,0.0,0.0,0.0,0.0,30.0,40.0,0.0,0.0,약간 증가,약간 증가,매우 감소,매우 감소,변함 없음,변함 없음,매우 감소,매우 감소
